nom;adresse_complete;ville;arrondissement_ou_departement;type;categorie_worldcup_2026;prix_indicatif;prix_moyen_eur_pers;budget_meteo;description_courte;statut;saisonnier;periode_worldcup_2026;acces;source_recommandation;source_url;source_statut_ouverture;date_verification_gpt;fiabilite_1_5;inclure_app;raison_exclusion_si_0;notes_gpt;lat;lng;avec_solo;avec_duo;avec_potos;avec_pro;pour_tranquillo;pour_allocco;pour_resto;pour_gastro;pour_incognito;pour_apero;pour_disco;pour_nocturne;pour_eau;pour_street_food;pour_guinguette;terrasse_hiver;pour_football;pour_worldcup_2026;fan_zone;ecran_geant;famille;gratuit_ou_entree_libre;reservation_recommandee;matchs_france_seulement;tous_matchs_ou_large_prog;officiel_sponsor;plein_air;sponsor_partenaire
Fan Zone LEGO - Parc de la Villette;Au pied de la Géode - Prairie Nord, Parc de la Villette, 211 Av. Jean Jaurès, 75019 Paris;Paris;19e;fan zone officielle/famille;fan zone officielle;entrée gratuite, réservation conseillée;0;pluie;Fan zone familiale sans alcool, écran géant, animations LEGO et foot à 5.;ouvert du 13/06 au 19/07/2026;oui;11 juin - 19 juillet 2026;gratuit / réservation fortement conseillée;Site officiel Fan Zone LEGO + Paris je t'aime + Paris.fr;https://fanzonelego.com/ | https://parisjetaime.com/article/fan-zones-paris-a1996 | https://www.paris.fr/evenements/coupe-du-monde-2026-decouvrez-la-fanzone-lego-dans-le-parc-de-la-villette-113411;site officiel;2026-06-14;5;1;;;;;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;LEGO
Club Coca-Cola - Quai de la Photo;9 Port de la Gare, 75013 Paris;Paris;13e;fan zone officielle / péniche;fan zone officielle;entrée gratuite, consommation sur place;15;pluie;Fan zone flottante en bord de Seine, 800 places, matchs, DJ sets et animations.;ouvert du 12/06 au 19/07/2026;oui;11 juin - 19 juillet 2026;gratuit / réservation très conseillée;Paris je t'aime + Time Out + site officiel Quai de la Photo;https://quaidelaphoto.fr/ | https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026 | https://parisjetaime.com/article/fan-zones-paris-a1996;site officiel + business ouvert;2026-06-14;5;1;;;;;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1;Coca-Cola
Lenovo Fan Zone Experience - Café A;Maison de l'architecture, 148 Rue du Faubourg Saint-Martin, 75010 Paris;Paris;10e;fan zone sponsor / jardin;fan zone officielle;gratuit;15;pluie;Fan zone tech de 800 m² dans le jardin du Café A, écrans géants, IA, food & drink.;ouvert du 12/06 au 19/07/2026;oui;11 juin - 19 juillet 2026;gratuit / selon capacité;Paris.fr + Paris je t'aime + Time Out;https://www.paris.fr/evenements/lenovo-ouvre-une-fan-zone-technologique-de-800-m-au-cafe-a-pendant-toute-la-coupe-du-monde-de-la-fifa-2026-113826 | https://parisjetaime.com/article/fan-zones-paris-a1996;Paris.fr + business ouvert;2026-06-14;5;1;;;;;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;Lenovo
Ground Control;81 Rue du Charolais, 75012 Paris;Paris;12e;tiers-lieu / food court;fan zone culturelle;entrée libre, conso 10-20 €;20;nuageux;Grande halle festive avec sélection de matchs, DJ sets, gaming, ateliers et terrain en libre accès.;ouvert / programmation Coupe du Monde confirmée;événementiel;11 juin - 19 juillet 2026;entrée libre / vérifier programme;Site officiel Ground Control + Time Out + Paris je t'aime;https://www.groundcontrolparis.com/project/coupe-du-monde-2026/ | https://www.groundcontrolparis.com/project/coupe-du-monde-2026-les-matchs/ | https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026;site officiel + business ouvert;2026-06-14;5;1;;;;;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;
La Communale Saint-Ouen;10 bis Rue de l'Hippodrome, 93400 Saint-Ouen-sur-Seine;Saint-Ouen-sur-Seine;93;halle food court / fan zone;fan zone Grand Paris;entrée libre, conso 10-20 €;20;nuageux;Halle géante avec écrans géants, baby-foot XXL, animations, food court et ambiance populaire.;ouvert / programmation 11/06-19/07 confirmée;événementiel;11 juin - 19 juillet 2026;entrée libre / selon capacité;Sortir à Paris + Time Out + Paris je t'aime;https://www.sortiraparis.com/loisirs/sport/articles/345938-coupe-du-monde-de-football-2026-fan-zone-ecran-geant-pronostics-baby-foot-geant-a-la-communale | https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026;guide 2026 + business ouvert;2026-06-14;5;1;;;;;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;0;
Le Grand Rex - Iconic Club;1 Boulevard Poissonnière, 75002 Paris;Paris;2e;cinéma / projection géante;projection événementielle;billet 20-21 €;30;nuageux;Projection de grandes affiches sur écran géant, animations type stade, capacité env. 2500 places.;ouvert / dates selon matchs;événementiel;11 juin - 19 juillet 2026;billet obligatoire;Le Grand Rex + Time Out + Le Parisien;https://www.legrandrex.com/cinema/5498 | https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026 | https://www.leparisien.fr/sports/football/coupe-du-monde/coupe-du-monde-2026-le-grand-rex-diffusera-le-match-entre-la-france-et-le-senegal-25-05-2026-7CW52PW5NFFPDBSCPLXZBHOW74.php;site officiel + business ouvert;2026-06-14;5;1;;;;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;
La Felicità;Station F, 5 Parvis Alan Turing, 75013 Paris;Paris;13e;food court italien;food court écran géant;entrée gratuite, conso 10-20 €;20;nuageux;Food court Big Mamma avec 5 écrans dont écran géant pour grandes affiches et matchs des Bleus.;ouvert / programmation Coupe du Monde confirmée;événementiel;11 juin - 19 juillet 2026;entrée gratuite dans la limite de capacité;Site officiel La Felicità + Paris je t'aime + Time Out;https://www.lafelicita.fr/coupe-du-monde-paris-diffusion-matchs | https://www.lafelicita.fr/bar-sportif | https://parisjetaime.com/article/fan-zones-paris-a1996;site officiel + business ouvert;2026-06-14;5;1;;;;;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;
TOCA Social Paris - Westfield CNIT;Westfield CNIT, 2 Place de la Défense, 92800 Puteaux;Puteaux;92;bar football immersif;fan zone immersive;billets dès 5 € boisson incluse / activités dès 11 €;25;nuageux;Fan zone nouvelle génération avec écrans géants, DJ, bars, restauration et boxes immersives.;ouvert / événement Coupe du Monde confirmé;événementiel;11 juin - 19 juillet 2026;billet / réservation recommandée;Fever/JDS + Paris je t'aime + site TOCA;https://feverup.com/m/656339 | https://www.toca.social/fr | https://parisjetaime.com/article/fan-zones-paris-a1996;billetterie + business ouvert;2026-06-14;5;1;;;;;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;
Jardin de la Ménagerie - Sceaux;70 Rue Houdan, 92330 Sceaux;Sceaux;92;fan zone municipale / jardin;fan zone familiale Grand Paris;gratuit, restauration locale;15;pluie;Fan zone bucolique et familiale pour les matchs de l'Équipe de France, buvette et chalets locaux.;annoncé dès le 16/06/2026;oui;11 juin - 19 juillet 2026;gratuit / selon capacité;Paris je t'aime + Ville de Sceaux réseaux sociaux;https://parisjetaime.com/article/fan-zones-paris-a1996;Paris je t'aime + lieu public ouvert;2026-06-14;4;1;;;;;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;
Virage Paris;26 Rue Hélène et François Missoffe, 75017 Paris;Paris;17e;club / open-air / fan zone ponctuelle;fan zone alternative;selon événement, conso 10-30 €;25;nuageux;"Club/open-air sous le périph avec retransmissions selon matchs, tournois et sets; très festif.";ouvert / programme selon matchs;événementiel;11 juin - 19 juillet 2026;selon event / réservation à vérifier;Time Out 2026 + business ouvert;https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026;business ouvert;2026-06-14;4;1;;;;;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;
Central Chapelle;4 Esplanade Alice Milliat, 75018 Paris;Paris;18e;food hall / terrasse fan zone;fan zone Bud / food court;entrée libre probable, conso 10-25 €;20;nuageux;Terrasse nord transformée en FIFA Fan Zone avec écrans, bière et comptoirs food.;ouvert / fan zone annoncée 11/06-19/07;événementiel;11 juin - 19 juillet 2026;à confirmer selon capacité;Time Out 2026;https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026;business ouvert;2026-06-14;4;1;;;;;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1;Budweiser
Jardin des Traverses;Boulevard Ney, face arrêt tram Diane Arbus, 75018 Paris;Paris;18e;tiers-lieu extérieur;fan zone alternative;entrée libre, conso variable;15;pluie;Spot roots et bucolique, retransmissions des matchs de l'équipe de France seulement.;ouvert selon programmation mercredi-dimanche;événementiel;11 juin - 19 juillet 2026;gratuit / programme à vérifier;Time Out 2026;https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026;Time Out 2026;2026-06-14;3;1;;;;;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;
