nom;adresse_complete;arrondissement;ville;petite_couronne;type;prix_eur_pers;prix_moyen_eur;budget_meteo;description_courte;statut;saisonnier;acces;lat;lng;inclure_app;avec_solo;avec_duo;avec_potos;avec_pro;pour_tranquillo;pour_allocco;pour_resto;pour_gastro;pour_incognito;pour_apero;budget_grand_soleil;budget_nuageux;budget_pluie;fiabilite;notes_app;source_url;date_verification
Le Tout-Paris;8 Quai du Louvre, 75001 Paris;01;Paris;0;restaurant / bar palace;100 €+;120;pluie;Adresse palace du Cheval Blanc avec terrasse et vue Seine / Pont-Neuf.;ouvert;toute l'annee;public / reservation indispensable;48.859121;2.342073;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/le-tout-paris/;2026-06-14
ROOF Paris;43 Rue Étienne Marcel, 75001 Paris;01;Paris;0;bar / restaurant / jardin suspendu;20-50 €;35;nuageux;Grand rooftop végétalisé de Madame Rêve, central, beau panorama et ambiance mode.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.864884;2.344227;1;1;1;1;1;0;1;1;0;0;1;0;1;0;bonne;;https://madamereve.com/restaurants/roof/;2026-06-14
Rooftop Eminente - Drawing Hotel;17 Rue de Richelieu, 75001 Paris;01;Paris;0;bar a cocktails / rooftop confidentiel;15-30 €;25;grand soleil;Petit rooftop caché près du Palais-Royal, esprit cubain et cocktails.;a verifier saison;saisonnier / pop-up;public / reservation conseillee;;;1;1;1;0;1;1;1;0;0;1;1;1;0;0;a verifier;A garder si la saison/pop-up 2026 est active au moment d'afficher.;https://www.sortiraparis.com/hotel-restaurant/bar-cafes/articles/328034-au-drawing-hotel-un-rooftop-confidentiel-a-l-esprit-cubain-debarque-a-paris-pres-du-louvre;2026-06-14
Sequoia Rooftop Bar;27-29 Bd des Capucines, 75002 Paris;02;Paris;0;bar a cocktails / rooftop hotel chic;40-50 €;45;pluie;Rooftop chic du Kimpton St Honoré, vue centrale, ambiance premium et cocktails.;ouvert;toute l'annee;public / reservation conseillee;48.868548;2.318290;1;0;1;0;1;0;1;0;0;1;1;0;0;1;bonne;;https://www.kimptonsthonoreparis.com/us/en/sequoia-rooftop-bar/;2026-06-14
The Shed;17 Bd Poissonnière, 75002 Paris;02;Paris;0;bar a cocktails / rooftop cache;15-30 €;22;grand soleil;Rooftop discret de l'Hotel des Grands Boulevards, petit, cosy et plus cache que panoramique.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.869973;2.334171;1;1;1;0;1;1;1;0;0;1;1;1;0;0;bonne;;https://www.grandsboulevardshotel.com/;2026-06-14
Rooftop National;243 Rue Saint-Martin, 75003 Paris;03;Paris;0;bar rooftop / hotel design;20-30 €;25;grand soleil;Rooftop compact et central de l'Hotel National des Arts et Metiers, vue sur les toits.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.863537;2.347753;1;1;1;0;1;1;1;0;0;1;1;1;0;0;bonne;;https://www.hotelnational.paris/;2026-06-14
Bonnie;10 Rue Agrippa d'Aubigné, 75004 Paris;04;Paris;0;restaurant / bar rooftop chic;100 €+;100;pluie;Rooftop du SO/Paris avec vue Seine, Notre-Dame, Eiffel et ambiance très chic.;ouvert;toute l'annee;public / reservation indispensable;48.849978;2.362514;1;0;1;1;1;0;1;1;1;0;1;0;0;1;bonne;;https://bonnie-restaurant.com/paris/;2026-06-14
Terraza Mikuna;1 Rue des Archives, 75004 Paris;04;Paris;0;bar a cocktails / restaurant latino / rooftop;20-70 €;45;pluie;Rooftop latino au BHV Marais, vegetal, festif, cocktails et cuisine sud-americaine.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.857810;2.353330;1;0;1;1;0;0;1;1;0;0;1;0;0;1;bonne;;https://www.terrassamikuna.com/;2026-06-14
Le Toit de la Tour;15 Quai de la Tournelle, 75005 Paris;05;Paris;0;bar / rooftop gastronomique;40-80 €;60;pluie;Rooftop de la Tour d'Argent, vue Seine / Notre-Dame, champagne et cocktails.;ouvert;toute l'annee / selon meteo;public / reservation indispensable;48.849142;2.354306;1;0;1;0;1;0;1;0;1;1;1;0;0;1;bonne;;https://tourdargent.com/;2026-06-14
Rooftop Bar Dame des Arts;4 Rue Danton, 75006 Paris;06;Paris;0;bar rooftop / hotel;10-60 €;35;nuageux;Rooftop rive gauche, vue Notre-Dame, Eiffel et toits du quartier Saint-Michel.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.853904;2.337882;1;1;1;1;1;1;1;0;0;0;1;0;1;0;bonne;;https://hoteldamedesarts.com/;2026-06-14
Kinugawa Rive Gauche;55 Av. de Saxe, 75007 Paris;07;Paris;0;restaurant japonais / rooftop palace;100 €+;110;pluie;Restaurant japonais perché au sommet de l'Hotel Sax avec rooftop et vue Eiffel.;ouvert;toute l'annee / rooftop selon meteo;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://kinu-gawa.com/en-rivegauche.html;2026-06-14
Les Ombres;27 Quai Jacques Chirac, 75007 Paris;07;Paris;0;restaurant gastronomique / rooftop musee;80-140 €;100;pluie;Restaurant sur le toit du musée du Quai Branly, terrasse panoramique et vue Eiffel.;ouvert;toute l'annee;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://www.lesombres-restaurant.com/en/;2026-06-14
Terrasse du Musée d'Orsay;Esplanade Valéry Giscard d'Estaing, 75007 Paris;07;Paris;0;terrasse rooftop musee / bar saisonnier;15-30 € + billet musee;25;grand soleil;Terrasse au-dessus de la Seine, ouverte en saison estivale, boissons et petites assiettes.;ouvert saison;ete seulement / selon meteo;avec billet musee / horaires musee;48.859961;2.326561;1;1;1;0;1;1;0;0;0;1;1;1;0;0;bonne;;https://www.musee-orsay.fr/en/visit/restaurants%20and%20caf%C3%A9s;2026-06-14
FUGA R;28 Rue de Monceau, 75008 Paris;08;Paris;0;restaurant / rooftop 360 / bar;20-30 €;25;grand soleil;Rooftop au 12e étage près du parc Monceau, déco Canaries, vue 360 et accès discret.;ouvert;saisonnier / selon meteo;public / reservation conseillee;;;1;0;1;1;1;0;1;1;0;1;1;1;0;0;bonne;;https://fugafamily.com/en/restaurants/fuga-rooftop;2026-06-14
Le Rooftop - Hotel Fouquet's Paris;46 Av. George V, 75008 Paris;08;Paris;0;restaurant / rooftop hotel luxe;60-120 €;90;pluie;Rooftop premium du Fouquet's, adresse Champs-Elysees / George V.;ouvert;toute l'annee / selon meteo;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;1;1;0;0;1;bonne;;https://www.hotelsbarriere.com/paris/le-fouquets/restaurants-et-bars/le-rooftop.html;2026-06-14
Mun Paris;52 Av. des Champs-Élysées, 75008 Paris;08;Paris;0;restaurant asiatique / terrasse rooftop;100 €+;110;pluie;Restaurant asiatique haut de gamme avec terrasse perchée sur les Champs-Elysees.;ouvert;toute l'annee / selon meteo;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://munparis.com/;2026-06-14
PLEY Rooftop;216 Rue du Faubourg Saint-Honoré, 75008 Paris;08;Paris;0;bar / restaurant rooftop hotel;10-20 €;18;grand soleil;Rooftop d'hôtel avec aperitivo, cocktails et ambiance afterwork.;ouvert;saisonnier / selon meteo;public / reservation conseillee;;;1;1;1;1;1;0;1;1;0;0;1;1;0;0;bonne;;https://pley-hotel.com/en/page/restaurant-bar-rooftop-paris.8302.html;2026-06-14
