nom,adresse_complete,type,prix,prix_min_eur,prix_max_eur,prix_moyen_eur,budget_meteo,note_google,avis_google,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,niveau_fiabilite,doublon_nom_potentiel,doublon_rang,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_eau,pour_nocturne,pour_disco,pour_guinguette,pour_terrasse_hiver,pour_street_food,meteo_pluie,meteo_nuageux,meteo_grand_soleil,source_base,date_traitement_gpt,verification_gpt,notes_gpt,image_url_originale,nom_original,rating_original,reviews_original,prix_original,type_original,raw_WkIe8 src,raw_fontHeadlineSmall,raw_MW4etd,raw_UY7F9,raw_IIrLbb,raw_IIrLbb 2,raw_ZiUbcb
Pizzeria Iovine's,,Pizza,20–30 €,20,30,25.0,nuageux,4.6,4318,"Pizza, note 4.6/5, 4318 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFM5Vni0vyejbpjM1ASZGI8eXXqVFusrWFeAMs08MVQcQzH6FEla9G_-iY5GoWy3u6Rrpu_wtNapMBCUCll-WuHezKhoQFwcBL7VP6ZiD8EEbs27NMEqWrFfINi7PA6W4PEdWXA18-JO9Pi=w80-h120-k-no,Pizzeria Iovine's,"4,6",(4 318),20–30 €,Pizza,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFM5Vni0vyejbpjM1ASZGI8eXXqVFusrWFeAMs08MVQcQzH6FEla9G_-iY5GoWy3u6Rrpu_wtNapMBCUCll-WuHezKhoQFwcBL7VP6ZiD8EEbs27NMEqWrFfINi7PA6W4PEdWXA18-JO9Pi=w80-h120-k-no,Pizzeria Iovine's,"4,6",(4 318),20–30 €,Pizza,·
Gros Bao - Paris,,Restaurant chinois,20–30 €,20,30,25.0,nuageux,4.7,9665,"Restaurant chinois, note 4.7/5, 9665 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOpVhV3fMpz_-QvNClO3MLyYlBGd-Uh2n8-bG1PArZ7EV-EiZZ483dPAuGiA5LLHG3hEMWogRjUnRvU-D3nCckpSQndjKKYtZF2H6KNq_HvNMYeVUIto5Zv743lMeWv3v_r4eahKjdlF0d=w80-h119-k-no,Gros Bao - Paris,"4,7",(9 665),20–30 €,Restaurant chinois,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOpVhV3fMpz_-QvNClO3MLyYlBGd-Uh2n8-bG1PArZ7EV-EiZZ483dPAuGiA5LLHG3hEMWogRjUnRvU-D3nCckpSQndjKKYtZF2H6KNq_HvNMYeVUIto5Zv743lMeWv3v_r4eahKjdlF0d=w80-h119-k-no,Gros Bao - Paris,"4,7",(9 665),20–30 €,Restaurant chinois,·
Sapinho,,Portugaise,30–40 €,30,40,35.0,nuageux,4.4,370,"Portugaise, note 4.4/5, 370 avis, prix 30–40 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGK6WJnNWcuw3OzsENohtudlWecnHtL6FyiczNHNJssF1BY5mS3jUlu5-ot5Nc9siasly_ZUl0_bNwgvG-0TZ9pH5pfMAcFgLCe3fE2UQ3UYVUmrVK034fs_sjyz-4-phAWdU_P=w163-h92-k-no,Sapinho,"4,4",(370),30–40 €,Portugaise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGK6WJnNWcuw3OzsENohtudlWecnHtL6FyiczNHNJssF1BY5mS3jUlu5-ot5Nc9siasly_ZUl0_bNwgvG-0TZ9pH5pfMAcFgLCe3fE2UQ3UYVUmrVK034fs_sjyz-4-phAWdU_P=w163-h92-k-no,Sapinho,"4,4",(370),30–40 €,Portugaise,·
amami,,,,,,,inconnu,4.4,263,"note 4.4/5, 263 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZ9KP8AdKtliWO33NixbRgGvoEmLLFabXdcciAz2YrrVw7f3B8grZl3zZ2oC9RvycDz_Mo9RdngI-q_m_IVKOthsW8i1mm5sx5bcySuSy_7UqlMiNvjFAiRJn1K1GMxMPOCtmjiQ=w80-h106-k-no,amami,"4,4",(263),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZ9KP8AdKtliWO33NixbRgGvoEmLLFabXdcciAz2YrrVw7f3B8grZl3zZ2oC9RvycDz_Mo9RdngI-q_m_IVKOthsW8i1mm5sx5bcySuSy_7UqlMiNvjFAiRJn1K1GMxMPOCtmjiQ=w80-h106-k-no,amami,"4,4",(263),,,
MALAK AL TAWOUK - 5,,Libanaise,10–20 €,10,20,15.0,pluie,4.3,151,"Libanaise, note 4.3/5, 151 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmaXwqpA-tsXLtlXJZlQI_Zl2cer_t1JM3qkyCykfou6ZS2YI1cUKpCCMRuKYFAS8IvxOXcBGyO-CSvY0nv9sHVIxjw1CFBvbN4iIBkJhCacUDtOAi2mWpwlkjESoQ9GbJn4Znxw=w80-h106-k-no,MALAK AL TAWOUK - 5,"4,3",(151),10–20 €,Libanaise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmaXwqpA-tsXLtlXJZlQI_Zl2cer_t1JM3qkyCykfou6ZS2YI1cUKpCCMRuKYFAS8IvxOXcBGyO-CSvY0nv9sHVIxjw1CFBvbN4iIBkJhCacUDtOAi2mWpwlkjESoQ9GbJn4Znxw=w80-h106-k-no,MALAK AL TAWOUK - 5,"4,3",(151),10–20 €,Libanaise,·
KUMA - Cadet,,Japonaise,10–20 €,10,20,15.0,pluie,4.8,1019,"Japonaise, note 4.8/5, 1019 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGtLMob536ZCVOQvvUkEeYvO6jsF0qgUwcoYGXzMFFayh_GecjM8PrU5_zjNBJAblQYB_yL5XdLQp0Z1DovGA73z0IT7I3diURWl0pWpXv6hZ0ESmNnOfrCkGARyJE2-pD618s=w80-h100-k-no,KUMA - Cadet,"4,8",(1 019),10–20 €,Japonaise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGtLMob536ZCVOQvvUkEeYvO6jsF0qgUwcoYGXzMFFayh_GecjM8PrU5_zjNBJAblQYB_yL5XdLQp0Z1DovGA73z0IT7I3diURWl0pWpXv6hZ0ESmNnOfrCkGARyJE2-pD618s=w80-h100-k-no,KUMA - Cadet,"4,8",(1 019),10–20 €,Japonaise,·
KIKÉ - Cuisine Taïwanaise & Street Food - 起家厝,,Taïwanaise,10–20 €,10,20,15.0,pluie,4.9,344,"Taïwanaise, note 4.9/5, 344 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHslxcOfGHQX58vMpvcycSY0Qj55P5cbgZhIGdnlXWeF1XSujoheCfKNHR122uKRJMMAtnJFoMXxGdQBNw_YAKrpx__Ng_qXHRq_ZQpiMAFnNionVLdh_w9Zyce39OxgL8OBgkp=w122-h92-k-no,KIKÉ - Cuisine Taïwanaise & Street Food - 起家厝,"4,9",(344),10–20 €,Taïwanaise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHslxcOfGHQX58vMpvcycSY0Qj55P5cbgZhIGdnlXWeF1XSujoheCfKNHR122uKRJMMAtnJFoMXxGdQBNw_YAKrpx__Ng_qXHRq_ZQpiMAFnNionVLdh_w9Zyce39OxgL8OBgkp=w122-h92-k-no,KIKÉ - Cuisine Taïwanaise & Street Food - 起家厝,"4,9",(344),10–20 €,Taïwanaise,·
Passage Choiseul,,,,,,,inconnu,,,Fermé définitivement selon l export Google; à exclure de l app.,ferme_definitivement_signale,non renseigne,public,,,0,ferme_a_exclure,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; Google export indique: Ce lieu n existe plus,,Passage Choiseul,,,Ce lieu n'existe plus,,,Passage Choiseul,,,Ce lieu n'existe plus,,
Malro,,Méditerranéenne,30–70 €,30,70,50.0,nuageux,4.3,1073,"Méditerranéenne, note 4.3/5, 1073 avis, prix 30–70 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgUzWIMOYsCRGnxsYsd4GgNyGjqLbOgvtCIHP_M0c89Jbz29tr75UiTyUhuGB7XrLyeRSlJ2QWqHPanrLJMBGJ7aP4YQqSzWiIQqSW4NgH0aGQoTxNwYVJXaCcKb-shpY_jeYr=w80-h106-k-no,Malro,"4,3",(1 073),30–70 €,Méditerranéenne,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgUzWIMOYsCRGnxsYsd4GgNyGjqLbOgvtCIHP_M0c89Jbz29tr75UiTyUhuGB7XrLyeRSlJ2QWqHPanrLJMBGJ7aP4YQqSzWiIQqSW4NgH0aGQoTxNwYVJXaCcKb-shpY_jeYr=w80-h106-k-no,Malro,"4,3",(1 073),30–70 €,Méditerranéenne,·
Le plomb du cantal Jolivet,,Restaurant,30–40 €,30,40,35.0,nuageux,4.5,588,"Restaurant, note 4.5/5, 588 avis, prix 30–40 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWnn2haJ04oxSqYUMJlDjHa09Q0ViS4MEmztS0EWzaeheNqMaoC6Ud1PqGbQUGrrW9pmDfziAUAHtKfc5uCGe-KTXz2DShRwV6SF8r6_OBp7jmYV0NpRLzIPuQ8Yn6J03YGsO2rI25DWw0=w122-h92-k-no,Le plomb du cantal Jolivet,"4,5",(588),30–40 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWnn2haJ04oxSqYUMJlDjHa09Q0ViS4MEmztS0EWzaeheNqMaoC6Ud1PqGbQUGrrW9pmDfziAUAHtKfc5uCGe-KTXz2DShRwV6SF8r6_OBp7jmYV0NpRLzIPuQ8Yn6J03YGsO2rI25DWw0=w122-h92-k-no,Le plomb du cantal Jolivet,"4,5",(588),30–40 €,Restaurant,·
