nom,adresse_complete,ville,arrondissement_ou_departement,type,categorie_surleau,prix_indicatif,prix_moyen_eur_pers,budget_meteo,description_courte,statut,saisonnier,periode_ouverture,acces,source_recommandation,source_url,source_statut_ouverture,date_verification_gpt,fiabilite_1_5,inclure_app,raison_exclusion_si_0,notes_gpt,lat,lng,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_disco,pour_nocturne,pour_eau,pour_street_food,pour_guinguette,terrasse_hiver,sur_eau,bord_eau,peniche,croisiere,bateau_a_quai,canal,seine,marne,vue_tour_eiffel
Quai de la Photo,"9 Port de la Gare, 75013 Paris",Paris,13e,centre photo / bar / péniche,péniche culturelle + bar,"entrée libre, conso 10-25 €",18,pluie,"Centre photo flottant avec terrasse sur Seine, bar, expos et gros potentiel apéro au bord de l’eau.",ouvert / fiche établissement active,toute l’année + événements,toute l’année,public / parfois réservation événement,Sortir à Paris + fiche établissement,https://quaidelaphoto.fr/ | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,site officiel + business ouvert,2026-06-14,5,1,,,,,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Petit Bain,"7 Port de la Gare, 75013 Paris",Paris,13e,concert hall / bar / restaurant / club,péniche culturelle,10-25 €,18,pluie,"Bateau culturel connu au pied de la BnF : bar, cantine, concerts, terrasse, club.",ouvert / fiche établissement active,toute l’année,toute l’année,public / billetterie pour concerts,Paris.fr + fiche établissement,https://petitbain.org/ | https://www.paris.fr/pages/nos-sept-peniches-preferees-a-paris-24345,site officiel + business ouvert,2026-06-14,5,1,,,,,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0
Le Bateau Phare,"3 Port de la Gare, 75013 Paris",Paris,13e,bar tapas / club / live,péniche festive,10-30 €,20,pluie,"Ancien Batofar devenu bateau festif : tapas, cocktails, concerts, clubbing.",ouvert / fiche établissement active,toute l’année,toute l’année,public / réservation conseillée le soir,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026 | https://www.bateauphare.fr/,business ouvert,2026-06-14,4,1,,,,,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
La Dame de Canton,"5 Port de la Gare, 75013 Paris",Paris,13e,restaurant / bar / live music venue,péniche spectacle,20-30 €,25,nuageux,"Jonque chinoise posée sur la Seine, bar-resto et concerts, très identifiable.",ouvert / fiche établissement active,toute l’année,toute l’année,public / concerts sur billetterie,Fiche établissement + guides péniches,https://www.damedecanton.com/ | https://www.sortiraparis.com/hotel-restaurant/bar-cafes/guides/74022-terrasses-sur-peniches-a-paris-et-en-ile-de-france-nos-bonnes-adresses-au-fil-de-l-eau-en-2026,business ouvert,2026-06-14,4,1,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Nix Nox,"6 Port de la Gare, 75013 Paris",Paris,13e,salle événementielle / club / restaurant,péniche événementielle,20-40 €,30,nuageux,"Péniche polyvalente pour événements, soirées et restaurant, à vérifier selon programmation.",ouvert / activité à vérifier selon dates,événementiel,selon programmation,public selon événements / privatisation,TheFork + fiche établissement,https://www.thefork.fr/restaurants/paris-c415144/sur-une-peniche-t384,fiche établissement active,2026-06-14,3,1,,Avis plus mitigés que les grands classiques ; utile surtout en événementiel.,,,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Bateau El Alamein,"10 Port de la Gare, 75013 Paris",Paris,13e,restaurant / concert,péniche concert,10-25 €,20,pluie,"Petite péniche historique côté BnF, concerts intimistes et ambiance alternative.",activité à vérifier selon programmation,événementiel,selon programmation,public / billetterie possible,Fiche établissement + guides péniches,https://www.bateauelalamein.com/ | https://www.paris.fr/pages/nos-sept-peniches-preferees-a-paris-24345,site/fiche à confirmer,2026-06-14,3,1,,Conserver avec fiabilité moyenne : toujours vérifier le programme avant recommandation.,,,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Péniche Antipode,"55 Quai de la Seine, 75019 Paris",Paris,19e,café-restaurant / théâtre,péniche canal,10-25 €,18,pluie,"Péniche du Bassin de la Villette : café-resto, spectacles, théâtre et ambiance familiale/associative.",ouvert / fiche établissement active,toute l’année,toute l’année,public / spectacles selon programmation,Site officiel + TheFork,https://www.penicheantipode.fr/ | https://www.thefork.fr/restaurants/paris-c415144/sur-une-peniche-t384,site officiel,2026-06-14,4,1,,,,,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0
Péniche Marcounet,"Port des Célestins, Quai de l’Hôtel de Ville, 75004 Paris",Paris,4e,bar / restaurant / jazz / concerts,péniche live,20-30 €,25,nuageux,"Péniche centrale au bord de l’île Saint-Louis, jazz, terrasse et apéro avec vue.",ouvert / fiche établissement active,toute l’année,toute l’année,public / résa conseillée concerts,Fiche établissement + guides 2026,https://www.sortiraparis.com/hotel-restaurant/bar-cafes/guides/74022-terrasses-sur-peniches-a-paris-et-en-ile-de-france-nos-bonnes-adresses-au-fil-de-l-eau-en-2026 | https://www.peniche-marcounet.fr/,business ouvert,2026-06-14,5,1,,,,,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Les Nautes,"1 Quai des Célestins, 75004 Paris",Paris,4e,bar / terrasse / concerts,bord de Seine,10-20 €,15,pluie,"Bar au bord de Seine avec terrasse, concerts et ambiance très apéro de quai.",ouvert / fiche établissement active,toute l’année,toute l’année,public,Fiche établissement + guides eau,https://lesnautes.paris/ | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
Les Maquereaux Rive Droite,"10 Quai de l’Hôtel de Ville, Pont Louis-Philippe, 75004 Paris",Paris,4e,bar à huîtres / tapas / cocktails,terrasse bord de Seine,20-40 €,30,nuageux,"Terrasse iodée au bord de l’eau : vin, fruits de mer, planches, vue Île Saint-Louis.",ouvert / fiche établissement active,saisonnier fort,avril-octobre + horaires variables,public / résa conseillée,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
