nom,adresse_complete,type,prix,prix_min_eur,prix_max_eur,prix_moyen_eur,budget_meteo,note_google,avis_google,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,niveau_fiabilite,doublon_nom_potentiel,doublon_rang,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_eau,pour_nocturne,pour_disco,pour_guinguette,pour_terrasse_hiver,pour_street_food,meteo_pluie,meteo_nuageux,meteo_grand_soleil,source_base,date_traitement_gpt,verification_gpt,notes_gpt,image_url_originale,nom_original,rating_original,reviews_original,prix_original,type_original,raw_WkIe8 src,raw_fontHeadlineSmall,raw_MW4etd,raw_UY7F9,raw_IIrLbb,raw_IIrLbb 2,raw_ZiUbcb,raw_bYkqId,raw_wNNZR,raw_IM91Ib
Abri Soba,,Restaurant de nouilles au sarrasin (soba),20–30 €,20,30,25.0,nuageux,4.7,1416,"Restaurant de nouilles au sarrasin (soba), note 4.7/5, 1416 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAERwNDyGalC_eQBIgzs4-x6c5yic-0LezBND9-0lXaTlTWyHMUn3EAbPWWr1riAW6x8o9F-a-2cK30sak1lawvCRtpbxpLHLRKEtivprsaBFh64r1v9oGmNQSR5sWWvSCwR0CaxyV8NuY8=w122-h92-k-no,Abri Soba,"4,7",(1 416),20–30 €,Restaurant de nouilles au sarrasin (soba),https://lh3.googleusercontent.com/gps-cs-s/APNQkAERwNDyGalC_eQBIgzs4-x6c5yic-0LezBND9-0lXaTlTWyHMUn3EAbPWWr1riAW6x8o9F-a-2cK30sak1lawvCRtpbxpLHLRKEtivprsaBFh64r1v9oGmNQSR5sWWvSCwR0CaxyV8NuY8=w122-h92-k-no,Abri Soba,"4,7",(1 416),20–30 €,Restaurant de nouilles au sarrasin (soba),·,,Note,Ajouter une note
Bistro Volnay,,Bistro,€€,20,40,30.0,nuageux,4.6,659,"Bistro, note 4.6/5, 659 avis, prix €€",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIku0-KG_3GM_wKFjyd9R5ARbLw1VXZj1nRhQLgONyM542Spyg6AYiX-8IvMZ96NGnFbGtXOHl8nNhxL7-pzt8CYG1D4ajT2bf-lLrKltFC1hqIVKrTL_YvG75KLrMPcUe0SWw=w163-h92-k-no,Bistro Volnay,"4,6",(659),€€,Bistro,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIku0-KG_3GM_wKFjyd9R5ARbLw1VXZj1nRhQLgONyM542Spyg6AYiX-8IvMZ96NGnFbGtXOHl8nNhxL7-pzt8CYG1D4ajT2bf-lLrKltFC1hqIVKrTL_YvG75KLrMPcUe0SWw=w163-h92-k-no,Bistro Volnay,"4,6",(659),€€,Bistro,·,,Note,Ajouter une note
Happatei,,Japonaise,20–30 €,20,30,25.0,nuageux,4.3,2524,"Japonaise, note 4.3/5, 2524 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEp8wTnJAgp9rOHzfpfd0RCTXU-sovNfOEYhZu9FDqc_S6hi9RVMKQ9ZLDNPDFC_CDIgTCYO9JC9_wvgXacvtkaWqN7DSdiTlxUXHg4Gf4pHCCu73jzYv-i3jAxYfCi9Afaje5p=w122-h92-k-no,Happatei,"4,3",(2 524),20–30 €,Japonaise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEp8wTnJAgp9rOHzfpfd0RCTXU-sovNfOEYhZu9FDqc_S6hi9RVMKQ9ZLDNPDFC_CDIgTCYO9JC9_wvgXacvtkaWqN7DSdiTlxUXHg4Gf4pHCCu73jzYv-i3jAxYfCi9Afaje5p=w122-h92-k-no,Happatei,"4,3",(2 524),20–30 €,Japonaise,·,,Note,Ajouter une note
Aki Café,,Japonaise,10–20 €,10,20,15.0,pluie,4.5,2300,"Japonaise, note 4.5/5, 2300 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDyoDHMyOvfLGHxIdTUTsQpHvQ3bHCU4pVxIDPLry4Nh0p9yHWjQxUmqf_EecgEGFDtHmM5JIllB-Kv9FanFthQ0v_TrALcxRXE7eqqADGEkcS0dL2B7-iyYYIfKEuNe5sxY7W=w122-h92-k-no,Aki Café,"4,5",(2 300),10–20 €,Japonaise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDyoDHMyOvfLGHxIdTUTsQpHvQ3bHCU4pVxIDPLry4Nh0p9yHWjQxUmqf_EecgEGFDtHmM5JIllB-Kv9FanFthQ0v_TrALcxRXE7eqqADGEkcS0dL2B7-iyYYIfKEuNe5sxY7W=w122-h92-k-no,Aki Café,"4,5",(2 300),10–20 €,Japonaise,·,,Note,Ajouter une note
La Coquille,,Bar,10–20 €,10,20,15.0,pluie,4.4,59,"Bar, note 4.4/5, 59 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,basse_a_verifier,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqTNJav-eQKJQzpH-rDsio-KuQkfiGmxPJ04g5c9nPNbS5n0OnXJmkQFN-poU32QtCMzHlec42rAcnqL7L95p3Hm15xFy9EA-rQtX8bhAu8CmZ_aKijPxFRiy4a5mSlKdxPtFViA=w123-h92-k-no,La Coquille,"4,4",(59),10–20 €,Bar,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqTNJav-eQKJQzpH-rDsio-KuQkfiGmxPJ04g5c9nPNbS5n0OnXJmkQFN-poU32QtCMzHlec42rAcnqL7L95p3Hm15xFy9EA-rQtX8bhAu8CmZ_aKijPxFRiy4a5mSlKdxPtFViA=w123-h92-k-no,La Coquille,"4,4",(59),10–20 €,Bar,·,,,
Duplex Bar,,Bar gay,1–30 €,1,30,15.5,pluie,4.3,316,"Bar gay, note 4.3/5, 316 avis, prix 1–30 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFKoJK9WIK4aTD8DvjtiGeySkSHSQ5roBoFNOtbkVBhkJQZ2U6kxwBK1XmzfmtvRjHwo3ii6sJiHTuua7sqbJPpX99enAdQC4hS-81NZuLAaqVf7ATo126ilx7w2VFVZCzut3QL=w122-h92-k-no,Duplex Bar,"4,3",(316),1–30 €,Bar gay,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFKoJK9WIK4aTD8DvjtiGeySkSHSQ5roBoFNOtbkVBhkJQZ2U6kxwBK1XmzfmtvRjHwo3ii6sJiHTuua7sqbJPpX99enAdQC4hS-81NZuLAaqVf7ATo126ilx7w2VFVZCzut3QL=w122-h92-k-no,Duplex Bar,"4,3",(316),1–30 €,Bar gay,·,,Note,Ajouter une note
Maison Revka,,Gastronomie française,+ de 100 €,100,,100,grand soleil,4.2,1411,"Gastronomie française, note 4.2/5, 1411 avis, prix + de 100 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGaCpffuQo14sOLlLtsCjFuhedCdBMDC0Fc6a7-nm_K8gqRpZl0irr2CoOHYZhGikTsP584QNAUH5mqX7ndaskYxkhashGKJrLvYwRY-c0gSjQsabwmgvjev9zgJJzJxviGxco=w138-h92-k-no,Maison Revka,"4,2",(1 411),+ de 100 €,Gastronomie française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGaCpffuQo14sOLlLtsCjFuhedCdBMDC0Fc6a7-nm_K8gqRpZl0irr2CoOHYZhGikTsP584QNAUH5mqX7ndaskYxkhashGKJrLvYwRY-c0gSjQsabwmgvjev9zgJJzJxviGxco=w138-h92-k-no,Maison Revka,"4,2",(1 411),+ de 100 €,Gastronomie française,·,,Note,Ajouter une note
Le Petit Cambodge,,Cambodgienne,20–30 €,20,30,25.0,nuageux,4.9,2422,"Cambodgienne, note 4.9/5, 2422 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxfzLpmO0pPADUdOcLod8U17aOuDHXesjNv6TsuIckMmbIBEZ5_ZrjMBB9FeXxp1E90BFYn3-RMKfIeMWqMaaAg84h5zrS5P6FAzPV2GXcCcvnXT_yzcP8gPBNGfliXl3_Cyertw=w98-h92-k-no,Le Petit Cambodge,"4,9",(2 422),20–30 €,Cambodgienne,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxfzLpmO0pPADUdOcLod8U17aOuDHXesjNv6TsuIckMmbIBEZ5_ZrjMBB9FeXxp1E90BFYn3-RMKfIeMWqMaaAg84h5zrS5P6FAzPV2GXcCcvnXT_yzcP8gPBNGfliXl3_Cyertw=w98-h92-k-no,Le Petit Cambodge,"4,9",(2 422),20–30 €,Cambodgienne,·,,Note,Ajouter une note
Deegha Cuisine Indienne,,Plats indiens à emporter,10–20 €,10,20,15.0,pluie,4.9,267,"Plats indiens à emporter, note 4.9/5, 267 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEoabmYzigRUfLAJ2UvaCga_bdEoRvaDrxAMIJtb8YGMRu3kayMV8NLG5dFJgOufE2s9oLLeRd2AF_BvqN12GhJiirCBOMKD8sM3S6YQ1yhxzY8CCcb1Ovr31aA7kVQycDQ_mn5mynYDyM=w137-h92-k-no,Deegha Cuisine Indienne,"4,9",(267),10–20 €,Plats indiens à emporter,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEoabmYzigRUfLAJ2UvaCga_bdEoRvaDrxAMIJtb8YGMRu3kayMV8NLG5dFJgOufE2s9oLLeRd2AF_BvqN12GhJiirCBOMKD8sM3S6YQ1yhxzY8CCcb1Ovr31aA7kVQycDQ_mn5mynYDyM=w137-h92-k-no,Deegha Cuisine Indienne,"4,9",(267),10–20 €,Plats indiens à emporter,·,,Note,Ajouter une note
DAROCO Trattoria - Bourse,,Italienne,30–70 €,30,70,50.0,nuageux,4.3,6166,"Italienne, note 4.3/5, 6166 avis, prix 30–70 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7MVfFtaEQR7eSvVC84ZEmN25tZ9iBc4FL7eml5ta8HlJ0TgZnHDLit-qmSt7HkLHEJ5qG1MY9uQwrtiziTGHMFsbOF6I-vp03kLtuFA35BQ3FChaw6KVu4EdK72fefO8zJIZpew=w138-h92-k-no,DAROCO Trattoria - Bourse,"4,3",(6 166),30–70 €,Italienne,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7MVfFtaEQR7eSvVC84ZEmN25tZ9iBc4FL7eml5ta8HlJ0TgZnHDLit-qmSt7HkLHEJ5qG1MY9uQwrtiziTGHMFsbOF6I-vp03kLtuFA35BQ3FChaw6KVu4EdK72fefO8zJIZpew=w138-h92-k-no,DAROCO Trattoria - Bourse,"4,3",(6 166),30–70 €,Italienne,·,,Note,Ajouter une note
