nom,categorie_principale,adresse_complete,arrondissement,ville,petite_couronne,type,prix_eur_pers,prix_moyen_eur,budget_meteo,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,avec_solo,avec_duo,avec_potos,avec_pro,pour_rooftop,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_disco,pour_eau,pour_nocturne,pour_terrasse_hiver,pour_guinguette,pour_street_food,nationalite_street_food,budget_grand_soleil,budget_nuageux,budget_pluie,fiabilite,reco_sources,notes_app,source_url,date_verification
Le Tout-Paris,rooftop,"8 Quai du Louvre, 75001 Paris",01,Paris,0,restaurant / bar palace,100 €+,120,grand soleil,Adresse palace du Cheval Blanc avec terrasse et vue Seine / Pont-Neuf.,ouvert,toute l'annee,public / reservation indispensable,48.859121,2.342073,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/le-tout-paris/,2026-06-14
ROOF Paris,rooftop,"43 Rue Étienne Marcel, 75001 Paris",01,Paris,0,bar / restaurant / jardin suspendu,20-50 €,35,nuageux,"Grand rooftop végétalisé de Madame Rêve, central, beau panorama et ambiance mode.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.864884,2.344227,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://madamereve.com/restaurants/roof/,2026-06-14
Rooftop Eminente - Drawing Hotel,rooftop,"17 Rue de Richelieu, 75001 Paris",01,Paris,0,bar a cocktails / rooftop confidentiel,15-30 €,25,nuageux,"Petit rooftop caché près du Palais-Royal, esprit cubain et cocktails.",a verifier saison,saisonnier / pop-up,public / reservation conseillee,,,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,1,0,a verifier,The Rooftop Guide / TimeOut / site officiel selon ligne,A garder si la saison/pop-up 2026 est active au moment d'afficher.,https://www.sortiraparis.com/hotel-restaurant/bar-cafes/articles/328034-au-drawing-hotel-un-rooftop-confidentiel-a-l-esprit-cubain-debarque-a-paris-pres-du-louvre,2026-06-14
Sequoia Rooftop Bar,rooftop,"27-29 Bd des Capucines, 75002 Paris",02,Paris,0,bar a cocktails / rooftop hotel chic,40-50 €,45,nuageux,"Rooftop chic du Kimpton St Honoré, vue centrale, ambiance premium et cocktails.",ouvert,toute l'annee,public / reservation conseillee,48.868548,2.318290,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.kimptonsthonoreparis.com/us/en/sequoia-rooftop-bar/,2026-06-14
The Shed,rooftop,"17 Bd Poissonnière, 75002 Paris",02,Paris,0,bar a cocktails / rooftop cache,15-30 €,22,nuageux,"Rooftop discret de l'Hotel des Grands Boulevards, petit, cosy et plus cache que panoramique.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.869973,2.334171,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.grandsboulevardshotel.com/,2026-06-14
Rooftop National,rooftop,"243 Rue Saint-Martin, 75003 Paris",03,Paris,0,bar rooftop / hotel design,20-30 €,25,nuageux,"Rooftop compact et central de l'Hotel National des Arts et Metiers, vue sur les toits.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.863537,2.347753,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.hotelnational.paris/,2026-06-14
Bonnie,rooftop,"10 Rue Agrippa d'Aubigné, 75004 Paris",04,Paris,0,restaurant / bar rooftop chic,100 €+,100,grand soleil,"Rooftop du SO/Paris avec vue Seine, Notre-Dame, Eiffel et ambiance très chic.",ouvert,toute l'annee,public / reservation indispensable,48.849978,2.362514,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://bonnie-restaurant.com/paris/,2026-06-14
Terraza Mikuna,rooftop,"1 Rue des Archives, 75004 Paris",04,Paris,0,bar a cocktails / restaurant latino / rooftop,20-70 €,45,nuageux,"Rooftop latino au BHV Marais, vegetal, festif, cocktails et cuisine sud-americaine.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.857810,2.353330,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.terrassamikuna.com/,2026-06-14
Le Toit de la Tour,rooftop,"15 Quai de la Tournelle, 75005 Paris",05,Paris,0,bar / rooftop gastronomique,40-80 €,60,grand soleil,"Rooftop de la Tour d'Argent, vue Seine / Notre-Dame, champagne et cocktails.",ouvert,toute l'annee / selon meteo,public / reservation indispensable,48.849142,2.354306,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://tourdargent.com/,2026-06-14
Rooftop Bar Dame des Arts,rooftop,"4 Rue Danton, 75006 Paris",06,Paris,0,bar rooftop / hotel,10-60 €,35,nuageux,"Rooftop rive gauche, vue Notre-Dame, Eiffel et toits du quartier Saint-Michel.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.853904,2.337882,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://hoteldamedesarts.com/,2026-06-14
Kinugawa Rive Gauche,rooftop,"55 Av. de Saxe, 75007 Paris",07,Paris,0,restaurant japonais / rooftop palace,100 €+,110,grand soleil,Restaurant japonais perché au sommet de l'Hotel Sax avec rooftop et vue Eiffel.,ouvert,toute l'annee / rooftop selon meteo,public / reservation indispensable,,,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://kinu-gawa.com/en-rivegauche.html,2026-06-14
Les Ombres,rooftop,"27 Quai Jacques Chirac, 75007 Paris",07,Paris,0,restaurant gastronomique / rooftop musee,80-140 €,100,grand soleil,"Restaurant sur le toit du musée du Quai Branly, terrasse panoramique et vue Eiffel.",ouvert,toute l'annee,public / reservation indispensable,,,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.lesombres-restaurant.com/en/,2026-06-14
Terrasse du Musée d'Orsay,rooftop,"Esplanade Valéry Giscard d'Estaing, 75007 Paris",07,Paris,0,terrasse rooftop musee / bar saisonnier,15-30 € + billet musee,25,nuageux,"Terrasse au-dessus de la Seine, ouverte en saison estivale, boissons et petites assiettes.",ouvert saison,ete seulement / selon meteo,avec billet musee / horaires musee,48.859961,2.326561,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.musee-orsay.fr/en/visit/restaurants%20and%20caf%C3%A9s,2026-06-14
FUGA R,rooftop,"28 Rue de Monceau, 75008 Paris",08,Paris,0,restaurant / rooftop 360 / bar,20-30 €,25,nuageux,"Rooftop au 12e étage près du parc Monceau, déco Canaries, vue 360 et accès discret.",ouvert,saisonnier / selon meteo,public / reservation conseillee,,,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://fugafamily.com/en/restaurants/fuga-rooftop,2026-06-14
Le Rooftop - Hotel Fouquet's Paris,rooftop,"46 Av. George V, 75008 Paris",08,Paris,0,restaurant / rooftop hotel luxe,60-120 €,90,grand soleil,"Rooftop premium du Fouquet's, adresse Champs-Elysees / George V.",ouvert,toute l'annee / selon meteo,public / reservation indispensable,,,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.hotelsbarriere.com/paris/le-fouquets/restaurants-et-bars/le-rooftop.html,2026-06-14
Mun Paris,rooftop,"52 Av. des Champs-Élysées, 75008 Paris",08,Paris,0,restaurant asiatique / terrasse rooftop,100 €+,110,grand soleil,Restaurant asiatique haut de gamme avec terrasse perchée sur les Champs-Elysees.,ouvert,toute l'annee / selon meteo,public / reservation indispensable,,,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://munparis.com/,2026-06-14
PLEY Rooftop,rooftop,"216 Rue du Faubourg Saint-Honoré, 75008 Paris",08,Paris,0,bar / restaurant rooftop hotel,10-20 €,18,pluie,"Rooftop d'hôtel avec aperitivo, cocktails et ambiance afterwork.",ouvert,saisonnier / selon meteo,public / reservation conseillee,,,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,0,1,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://pley-hotel.com/en/page/restaurant-bar-rooftop-paris.8302.html,2026-06-14
Balcon Paris - Galeries Lafayette,rooftop,"25 Rue de la Chaussée d'Antin, 75009 Paris",09,Paris,0,restaurant / rooftop grand magasin,20-60 €,35,nuageux,"Rooftop très touristique des Galeries Lafayette, vue Opera et toits de Paris.",ouvert,toute l'annee / selon meteo,public,48.873409,2.328004,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.galerieslafayette.com/magasin-haussmann/restaurants,2026-06-14
Créatures Paris,rooftop,"Galeries Lafayette Paris Haussmann, 25 Rue de la Chaussée d'Antin, 75009 Paris",09,Paris,0,restaurant vegetarien / rooftop saisonnier,25-50 €,35,nuageux,"Rooftop végétarien saisonnier sur les Galeries Lafayette, vue Opera et Tour Eiffel.",ouvert saison / a verifier,ete seulement,public / reservation conseillee,48.873409,2.328004,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,a verifier,The Rooftop Guide / TimeOut / site officiel selon ligne,A activer seulement si la saison Créatures est confirmée.,https://www.galerieslafayette.com/magasin-haussmann/food-court/creatures,2026-06-14
Maggie Rooftop,rooftop,"55 Bd Marguerite de Rochechouart, 75009 Paris",09,Paris,0,restaurant / bar rooftop,30-80 €,45,nuageux,"Rooftop de l'Hotel Rochechouart, vue Sacré-Coeur, Pigalle chic et coucher de soleil.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.882163,2.339618,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.orsohotels.com/hotel-rochechouart/rooftop-restaurant-maggie,2026-06-14
Perruche,rooftop,"Printemps de l'Homme, 2 Rue du Havre, 9e étage, 75009 Paris",09,Paris,0,restaurant mediterraneen / rooftop,30-80 €,50,nuageux,"Grand rooftop du Printemps, vue Opera, Eiffel et toits de Paris, ambiance solaire.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.872906,2.322927,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://perruche-restaurant.com/paris/,2026-06-14
Khayma Rooftop,rooftop,"9-11 Place du Colonel Fabien, 75010 Paris",10,Paris,0,bar rooftop / hostel,10-20 €,15,pluie,"Rooftop jeune et accessible du Generator, vue Sacré-Coeur, idéal apéro simple.",ouvert,toute l'annee / selon meteo,public,48.878349,2.362068,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,,0,0,1,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://generatorhostels.com/destinations/paris/,2026-06-14
Le Perchoir Ménilmontant,rooftop,"14 Rue Camille Crespin du Gast, 75011 Paris",11,Paris,0,bar / restaurant / rooftop festif,15-35 €,25,nuageux,"Classique rooftop de l'Est parisien, ambiance branchée et festive.",ouvert,toute l'annee / selon meteo,public / file possible,48.863454,2.372165,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://leperchoir.fr/,2026-06-14
Laho Rooftop,rooftop,"5-9 Rue Van Gogh, 75012 Paris",12,Paris,0,bar / restaurant / rooftop evenementiel,10-30 €,22,nuageux,"Rooftop à 60 m près de Gare de Lyon, vue très dégagée, DJ et événements.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.843539,2.368916,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.laho-rooftop.fr/,2026-06-14
TOO TacTac Skybar,rooftop,"65 Rue Bruneseau, 75013 Paris",13,Paris,0,skybar / restaurant / live music,25-60 €,40,nuageux,"Skybar très haut du TOO Hotel, vue Seine, Eiffel et monuments, privatisable.",ouvert,toute l'annee,public / reservation conseillee,48.825739,2.374621,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://toohotel.com/en/tac-tac-skybar-en/,2026-06-14
Skybar Paris Rooftop,rooftop,"19 Rue du Commandant René Mouchotte, 75014 Paris",14,Paris,0,cocktail bar / skybar hotel,20-80 €,50,nuageux,"Bar du Pullman Montparnasse au 32e étage, panorama spectaculaire et ambiance lounge.",ouvert,toute l'annee,public / reservation conseillee,48.838810,2.296433,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.skybarparis.com/,2026-06-14
